id,text,bopomofo,pinyin,meaning,example,source,difficulty,tags,enabled,version
idiom-0001,一心一意,,,心意專一，沒有別的念頭。,他一心一意準備比賽。,"示範資料，正式發布前需完成授權與校訂",easy,態度|學習,true,1
idiom-0002,意氣風發,,,形容精神振奮，氣概豪邁。,隊員們意氣風發地走進會場。,"示範資料，正式發布前需完成授權與校訂",easy,情緒|人物,true,1
idiom-0003,發揚光大,,,使優良事物進一步發展並更加盛大。,我們要把互助精神發揚光大。,"示範資料，正式發布前需完成授權與校訂",normal,行動|品德,true,1
idiom-0004,大公無私,,,辦事公正，沒有私心。,他處理事情大公無私。,"示範資料，正式發布前需完成授權與校訂",easy,品德,true,1
idiom-0005,私心雜念,,,為自己打算的念頭與其他不純正想法。,做決定時應放下私心雜念。,"示範資料，正式發布前需完成授權與校訂",normal,心理,true,1
idiom-0006,念念不忘,,,時常掛念，始終不忘。,她對老師的教導念念不忘。,"示範資料，正式發布前需完成授權與校訂",easy,心理|記憶,true,1
idiom-0007,忘恩負義,,,忘記別人的恩惠，做出對不起別人的事。,做人不可忘恩負義。,"示範資料，正式發布前需完成授權與校訂",normal,品德,true,1
idiom-0008,義不容辭,,,道義上不允許推辭。,協助受困者是我們義不容辭的責任。,"示範資料，正式發布前需完成授權與校訂",normal,品德|責任,true,1
idiom-0009,辭舊迎新,,,送走舊的一年，迎接新的一年。,大家一起辭舊迎新。,"示範資料，正式發布前需完成授權與校訂",easy,節慶,true,1
idiom-0010,新陳代謝,,,新的事物產生，舊的事物消退。,適度運動能促進新陳代謝。,"示範資料，正式發布前需完成授權與校訂",normal,自然|變化,true,1
idiom-0011,謝天謝地,,,表示感激或慶幸。,謝天謝地，大家都平安回來了。,"示範資料，正式發布前需完成授權與校訂",easy,情緒,true,1
idiom-0012,地久天長,,,形容時間長久，也指感情永恆。,真摯的友誼可以地久天長。,"示範資料，正式發布前需完成授權與校訂",easy,時間|情感,true,1
idiom-0013,長年累月,,,經過很長的時間。,他長年累月累積研究資料。,"示範資料，正式發布前需完成授權與校訂",easy,時間,true,1
idiom-0014,月下老人,,,傳說中主管婚姻的神。,故事裡的月下老人為兩人牽線。,"示範資料，正式發布前需完成授權與校訂",normal,典故|人物,true,1
idiom-0015,人山人海,,,形容聚集的人非常多。,會場外人山人海。,"示範資料，正式發布前需完成授權與校訂",easy,場景|數量,true,1
idiom-0016,海闊天空,,,形容天地遼闊，也比喻心胸開闊或談話無拘束。,大家海闊天空地談理想。,"示範資料，正式發布前需完成授權與校訂",easy,景物|心境,true,1
idiom-0017,空前絕後,,,從前沒有，往後也難再出現。,這場表演的規模可說空前絕後。,"示範資料，正式發布前需完成授權與校訂",hard,程度,true,1
idiom-0018,後來居上,,,後來的人超越先前的人。,他勤奮練習，終於後來居上。,"示範資料，正式發布前需完成授權與校訂",easy,成長,true,1
idiom-0019,上行下效,,,上面的人怎麼做，下面的人就跟著模仿。,管理者應注意上行下效的影響。,"示範資料，正式發布前需完成授權與校訂",hard,管理|行為,true,1
idiom-0020,效犬馬力,,,願像犬馬一樣效力，表示願意盡力服務。,他願為團隊效犬馬力。,"示範資料，正式發布前需完成授權與校訂",hard,典故|服務,true,1
idiom-0021,力爭上游,,,努力奮鬥，爭取進步。,同學們力爭上游，不斷精進。,"示範資料，正式發布前需完成授權與校訂",easy,努力|成長,true,1
idiom-0022,游刃有餘,,,做事熟練，處理起來從容不迫。,他經驗豐富，面對工作游刃有餘。,"示範資料，正式發布前需完成授權與校訂",normal,能力|典故,true,1
idiom-0023,餘音繞梁,,,形容歌聲優美，令人久久難忘。,演奏結束後仍令人感到餘音繞梁。,"示範資料，正式發布前需完成授權與校訂",normal,藝術|典故,true,1
idiom-0024,梁上君子,,,原指躲在屋梁上的竊賊，後用來委婉稱呼小偷。,鄰里提高警覺，防範梁上君子。,"示範資料，正式發布前需完成授權與校訂",hard,典故|人物,true,1
idiom-0025,子虛烏有,,,指虛構而不存在的事物。,這項傳聞根本是子虛烏有。,"示範資料，正式發布前需完成授權與校訂",normal,真假|典故,true,1
