catalogOrder,idiomId,idiomText,levelNumber,placementOrder,batchId,rarity,cardDifficultyCode,cardDifficultyLabel,levelDifficulty,categoryPrimary,categorySecondary,primaryVisualLead,meaning
1,idiom-0001,一心一意,1,1,batch-01,R,E,入門,easy,態度,專注,female,心意專一，沒有別的念頭。
2,idiom-0002,意氣風發,1,2,batch-01,SR,D,基礎,easy,精神,人物,male,形容精神振奮，氣概豪邁。
3,idiom-0003,發揚光大,2,1,batch-01,SSR,C,普通,easy,傳承,行動,female,使優良事物進一步發展並更加盛大。
4,idiom-0004,大公無私,2,2,batch-01,SSR,D,基礎,easy,品德,公正,male,辦事公正，沒有私心。
5,idiom-0005,私心雜念,3,1,batch-01,N,C,普通,easy,心理,警示,female,為自己打算的念頭與其他不純正想法。
6,idiom-0006,念念不忘,3,2,batch-01,R,E,入門,easy,情感,記憶,male,時常掛念，始終不忘。
7,idiom-0007,忘恩負義,4,1,batch-01,N,C,普通,easy,品德,警示,female,忘記別人的恩惠，做出對不起別人的事。
8,idiom-0008,義不容辭,4,2,batch-01,SSR,C,普通,easy,品德,責任,male,道義上不允許推辭。
9,idiom-0009,辭舊迎新,5,1,batch-01,R,E,入門,easy,節慶,變化,female,送走舊的階段，迎接新的開始。
10,idiom-0010,新陳代謝,5,2,batch-01,R,D,基礎,easy,自然,變化,male,新的事物產生，舊的事物消退。
11,idiom-0011,謝天謝地,6,1,batch-02,R,E,入門,easy,情緒,慶幸,female,表示感激或慶幸。
12,idiom-0012,地久天長,6,2,batch-02,R,D,基礎,easy,時間,情感,male,形容時間長久，也指感情永恆。
13,idiom-0013,長年累月,6,3,batch-02,R,E,入門,easy,時間,堅持,female,經過很長的時間。
14,idiom-0014,月下老人,7,1,batch-02,R,D,基礎,easy,典故,姻緣,male,傳說中主管婚姻的神。
15,idiom-0015,人山人海,7,2,batch-02,R,E,入門,easy,場景,群眾,female,形容聚集的人非常多。
16,idiom-0016,海闊天空,7,3,batch-02,SR,D,基礎,easy,景物,心境,male,形容天地遼闊，也比喻心胸開闊。
17,idiom-0017,空前絕後,8,1,batch-02,SR,B,進階,normal,程度,成就,female,從前沒有，往後也難再出現。
18,idiom-0018,後來居上,8,2,batch-02,SR,D,基礎,normal,成長,競爭,male,後來的人超越先前的人。
19,idiom-0019,上行下效,8,3,batch-02,N,A,困難,normal,管理,榜樣,female,上面的人怎麼做，下面的人就跟著模仿。
20,idiom-0020,效犬馬力,9,1,batch-02,R,A,困難,normal,典故,服務,male,願像犬馬一樣效力，表示願意盡力服務。
21,idiom-0021,力爭上游,9,2,batch-03,SSR,D,基礎,normal,努力,成長,female,努力奮鬥，爭取進步。
22,idiom-0022,游刃有餘,9,3,batch-03,SR,C,普通,normal,能力,從容,male,做事熟練，處理起來從容不迫。
23,idiom-0023,餘音繞梁,10,1,batch-03,SR,B,進階,normal,藝術,典故,female,形容歌聲或音樂優美，令人久久難忘。
24,idiom-0024,梁上君子,10,2,batch-03,N,A,困難,normal,典故,警示,male,原指躲在屋梁上的竊賊，後用來委婉稱呼小偷。
25,idiom-0025,子虛烏有,10,3,batch-03,N,A,困難,normal,真偽,典故,female,指虛構而不存在的事物。
26,idiom-0026,有始有終,11,1,batch-03,SR,D,基礎,normal,態度,堅持,male,做事有開頭也有結尾，能堅持到底。
27,idiom-0027,終身大事,11,2,batch-03,R,D,基礎,normal,人生,婚姻,female,關係一生的重要事情，多指婚姻。
28,idiom-0028,事半功倍,11,3,batch-03,SR,D,基礎,normal,效率,學習,male,花較少力氣而得到較大成效。
29,idiom-0033,人定勝天,12,1,batch-03,SSR,C,普通,normal,努力,工程,female,相信人的努力可以克服自然困難。
30,idiom-0034,天長地久,12,2,batch-03,R,E,入門,normal,時間,情感,male,形容時間長久不變。
31,idiom-0035,久別重逢,12,3,batch-04,R,E,入門,normal,情感,重逢,female,長久分離後再次相見。
32,idiom-0036,逢凶化吉,13,1,batch-04,SR,D,基礎,normal,運勢,轉機,male,遇到凶險而轉為吉祥。
33,idiom-0037,吉祥如意,13,2,batch-04,SR,D,基礎,normal,祝福,節慶,female,吉利祥和，事情符合心意。
34,idiom-0038,意氣用事,13,3,batch-04,N,C,普通,normal,心理,警示,male,憑感情衝動行事，缺乏理性判斷。
35,idiom-0039,事必躬親,13,4,batch-04,SR,B,進階,normal,行動,責任,female,凡事都親自處理，不交由別人代辦。
36,idiom-0029,意想不到,14,1,batch-04,R,E,入門,normal,變化,驚喜,male,出乎意料，沒有預先想到。
37,idiom-0030,到此為止,14,2,batch-04,N,E,入門,normal,行動,界線,female,在這裡停止，不再繼續。
38,idiom-0031,止於至善,14,3,batch-04,SSR,S,極限,normal,品德,學習,male,追求達到最完善的境界。
39,idiom-0032,善始善終,14,4,batch-04,SR,D,基礎,normal,態度,責任,female,有好的開始，也有好的結束。
40,idiom-0040,親力親為,15,1,batch-04,SR,D,基礎,normal,行動,責任,male,親自出力並動手完成事情。
41,idiom-0041,為人師表,15,2,batch-05,SSR,C,普通,normal,品德,教育,female,在品德與行為上成為他人的榜樣。
42,idiom-0042,表裡如一,15,3,batch-05,SR,D,基礎,normal,品德,誠信,male,外在言行與內心想法完全一致。
43,idiom-0043,一鳴驚人,16,1,batch-05,SSR,D,基礎,hard,成就,人物,female,平時默默無聞，一有表現便令人驚訝。
44,idiom-0044,人傑地靈,16,2,batch-05,SR,B,進階,hard,人物,地方,male,傑出人物生於環境優美或有靈氣的地方。
45,idiom-0045,靈丹妙藥,16,3,batch-05,R,C,普通,hard,醫藥,方法,female,比喻非常有效的藥物或解決問題的方法。
46,idiom-0046,藥到病除,16,4,batch-05,SR,C,普通,hard,醫藥,成果,male,形容藥效很好，服藥後疾病很快痊癒。
47,idiom-0047,除舊布新,17,1,batch-05,SR,D,基礎,hard,變革,行動,female,除去舊的，建立新的。
48,idiom-0048,新婚燕爾,17,2,batch-05,R,E,入門,hard,婚姻,情感,male,形容新婚夫妻歡樂和諧。
49,idiom-0049,爾虞我詐,17,3,batch-05,N,A,困難,hard,權謀,警示,female,彼此互相猜疑欺騙。
50,idiom-0050,山高水長,18,1,batch-05,SR,C,普通,hard,品德,景物,male,比喻品德高尚，影響深遠。
51,idiom-0051,長驅直入,18,2,batch-06,N,B,進階,hard,軍事,行動,female,軍隊快速前進，深入敵方。
52,idiom-0052,入木三分,18,3,batch-06,SR,B,進階,hard,藝術,洞察,male,形容書法筆力強勁，也比喻見解深刻。
53,idiom-0053,分秒必爭,18,4,batch-06,SR,D,基礎,hard,時間,努力,female,一分一秒也不放過，形容把握時間。
54,idiom-0054,爭先恐後,19,1,batch-06,R,E,入門,hard,競爭,行動,male,爭著向前，唯恐落後。
55,idiom-0055,後生可畏,19,2,batch-06,SR,D,基礎,hard,成長,人物,female,年輕人有潛力，值得敬畏。
56,idiom-0056,畏首畏尾,19,3,batch-06,N,C,普通,hard,心理,警示,male,顧慮太多，做事猶豫不決。
57,idiom-0057,尾大不掉,19,4,batch-06,N,A,困難,hard,管理,警示,female,比喻部屬勢力過大，難以控制。
58,idiom-0058,掉以輕心,20,1,batch-06,N,D,基礎,hard,態度,警示,male,用輕率態度看待事情，疏忽大意。
59,idiom-0059,心曠神怡,20,2,batch-06,SR,E,入門,hard,心境,景物,female,心情開朗，精神愉快。
